workflow,trial_id,minutes,validation,loop_mode,llm_rounds,tool_calls,success,notes
manual,1,19.2,false,none,,,1,
manual,2,17.8,false,none,,,1,
manual,3,21.5,false,none,,,1,
manual,4,18.0,false,none,,,1,
manual,5,20.1,false,none,,,1,
manual,6,22.4,false,none,,,1,
manual,7,16.9,false,none,,,1,
manual,8,19.7,false,none,,,1,
manual,9,18.6,false,none,,,1,
manual,10,17.2,false,none,,,1,
generator_gui,1,4.5,false,none,,,1,
generator_gui,2,3.9,false,none,,,1,
generator_gui,3,4.8,false,none,,,1,
generator_gui,4,4.1,false,none,,,1,
generator_gui,5,5.2,false,none,,,1,
generator_gui,6,3.7,false,none,,,1,
generator_gui,7,4.4,false,none,,,1,
generator_gui,8,4.0,false,none,,,1,
generator_gui,9,3.6,false,none,,,1,
generator_gui,10,4.9,false,none,,,1,
ai_1shot_no_check,1,6.8,false,single,1,0,1,placeholder: single model turn; AST/JSON checks disabled in protocol
ai_1shot_no_check,2,5.9,false,single,1,0,1,
ai_1shot_no_check,3,7.4,false,single,1,0,0,placeholder trial that failed Ryven import
ai_1shot_no_check,4,6.2,false,single,1,0,1,
ai_1shot_no_check,5,8.1,false,single,1,0,0,
ai_1shot_no_check,6,6.0,false,single,1,0,1,
ai_1shot_no_check,7,7.0,false,single,1,0,1,
ai_1shot_no_check,8,6.4,false,single,1,0,1,
ai_1shot_validated,1,8.6,true,single,1,0,1,
ai_1shot_validated,2,7.9,true,single,1,0,1,
ai_1shot_validated,3,9.2,true,single,1,0,1,
ai_1shot_validated,4,8.1,true,single,1,0,1,
ai_1shot_validated,5,8.8,true,single,1,0,1,
ai_1shot_validated,6,7.6,true,single,1,0,1,
ai_1shot_validated,7,9.0,true,single,1,0,1,
ai_1shot_validated,8,8.3,true,single,1,0,1,
ai_react_validated,1,11.2,true,react,3,7,1,
ai_react_validated,2,10.1,true,react,2,5,1,
ai_react_validated,3,12.8,true,react,4,9,1,
ai_react_validated,4,9.9,true,react,2,4,1,
ai_react_validated,5,11.6,true,react,3,8,1,
ai_react_validated,6,10.5,true,react,3,6,1,
ai_react_validated,7,13.1,true,react,5,11,1,
ai_react_validated,8,10.8,true,react,3,7,1,
